csv_original,db_species_id,db_german_name,db_latin_name,match_reason
Sorbus aucuparia(Vogelbeere),103,Eberesche,Sorbus aucuparia,Exact Latin match: 'Sorbus aucuparia'
Rectula alba (Birke),112,Hänge-Birke,Betula alba,Exact Latin match: 'Betula alba'
Pinus larix(Lerche),105,Europäische Lärche,Larix decidua,Exact Latin match: 'Larix decidua'
Corgulus avellana(Haselnuss),113,Hasel,Corylus avellana,Exact Latin match: 'Corylus avellana'
Pyras communis(Holzbirn),322,"Birne, späte Reife",Pyrus communis,Exact Latin match: 'Pyrus communis'
Pyrus malus(Holzapfel),322,"Birne, späte Reife",Pyrus communis,Latin genus match only: Pyrus → Pyrus communis
Sambucus nigra (Gemeiner Hollunder),129,Schwarzer Holunder,Sambucus nigra,Exact Latin match: 'Sambucus nigra'
Fragaria vesca(Gemeine Erdbeere),384,Erdbeere,Fragaria,Latin genus match only: Fragaria → Fragaria
Aesculus Hyppocastanum(Roßkastanie),122,Rosskastanie,Aesculus hippocastanum,Exact Latin match: 'Aesculus hippocastanum'
Sambucus nigra(Gemeiner Hollunder),129,Schwarzer Holunder,Sambucus nigra,Exact Latin match: 'Sambucus nigra'
Prunus spinosa(Schlehe),125,Schlehe,Prunus spinosa,Exact Latin match: 'Prunus spinosa'
Betula alba(Birke),112,Hänge-Birke,Betula alba,Exact Latin match: 'Betula alba'
Corylus avellana(Haselnuss),113,Hasel,Corylus avellana,Exact Latin match: 'Corylus avellana'
Winterroggen,203,Winterroggen,Secale cereale,Exact German match: 'Winterroggen'
Winterweitzen,202,Winterweizen,Triticum aestivum,Special case: Weizen variant → Winterweizen
"Lerche, Pinus larix",105,Europäische Lärche,Larix decidua,Exact Latin match: 'Larix decidua'
"Birke, Betula alba",112,Hänge-Birke,Betula alba,Exact Latin match: 'Betula alba'
"Vogelbeerbaum,Sorbus aucuparia",103,Eberesche,Sorbus aucuparia,Exact Latin match: 'Sorbus aucuparia'
"Gemeiner Hollunder, Sambucus nigra",129,Schwarzer Holunder,Sambucus nigra,Exact Latin match: 'Sambucus nigra'
"Weißdorn,Crataegus oxycantha",138,Zweigriffliger Weißdorn,Crataegus laevigata,Latin genus match only: Crataegus → Crataegus laevigata
"Rothbuche,Fagus sylvatica",123,Rotbuche,Fagus sylvatica,Exact Latin match: 'Fagus sylvatica'
"Saalweide,Salic caprea",124,Sal-Weide,Salix caprea,Exact Latin match: 'Salix caprea'
Aesculus Hyppocastanum (Rosskastanie),122,Rosskastanie,Aesculus hippocastanum,Exact Latin match: 'Aesculus hippocastanum'
Alnus glutinosa(Schwarzerle),128,Schwarz-Erle,Alnus glutinosa,Exact Latin match: 'Alnus glutinosa'
Alnus incana(Weißerle),128,Schwarz-Erle,Alnus glutinosa,Latin genus match only: Alnus → Alnus glutinosa
Coryllus avellana(Haselnuss),113,Hasel,Corylus avellana,Exact Latin match: 'Corylus avellana'
Fagus sylvatica(Rotbirke),123,Rotbuche,Fagus sylvatica,Exact Latin match: 'Fagus sylvatica'
Pinus abies(Weißtanne),133,Tanne,Abies alba,Exact German match: 'Tanne'
Pinus picea(Fichte),107,Fichte,Picea abies,Exact German match: 'Fichte'
Pinus sylvestris(Föher),118,Kiefer,Pinus sylvestris,Exact Latin match: 'Pinus sylvestris'
Prunus avium(Süßkirsche),332,"Süßkirsche, späte Reife",Prunus avium,Exact Latin match: 'Prunus avium'
Prunus padus(Traubenkirsche),134,Traubenkirsche,Prunus padus,Exact Latin match: 'Prunus padus'
Prunus commuis(Holzbirn),125,Schlehe,Prunus spinosa,Latin genus match only: Prunus → Prunus spinosa
Quereus robur(Trauben-Wintereiche),132,Stiel-Eiche,Quercus robur,Exact Latin match: 'Quercus robur'
Sambucus racemosia(Rother),129,Schwarzer Holunder,Sambucus nigra,Latin genus match only: Sambucus → Sambucus nigra
Sorbus aucuparia(Vogelbeerbaum),103,Eberesche,Sorbus aucuparia,Exact Latin match: 'Sorbus aucuparia'
Fragaria resca(Gemeine Erdbeere),384,Erdbeere,Fragaria,Latin genus match only: Fragaria → Fragaria
Schwarzer Hollunder,129,Schwarzer Holunder,Sambucus nigra,Exact German match: 'Schwarzer Holunder'
Birke,111,Birke (alle Arten),Betula,Partial German match: 'Birke' → 'Birke (alle Arten)' (common: {'birke'})
Schlehe,125,Schlehe,Prunus spinosa,Exact German match: 'Schlehe'
Winterweizen,202,Winterweizen,Triticum aestivum,Exact German match: 'Winterweizen'
Haber,208,Hafer,Avena sativa,Exact German match: 'Hafer'
